question_id,db_id,difficulty,Question,Status,Agent_Selected_Items,Agent_Reasoning,RAW_NODES,PCST_NODES,Final_Nodes,Schema_Recall,Schema_Precision,Schema_F1,Pred_Count,GT_Count,Missing_col,Extra_col,Generated_SQL,Error_Detail,Agent_Time_sec,Generator_Time_sec,Total_Time_sec
0,california_schools,simple,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,FAIL,,,92,0,0,0.5,0.2857,0.3636,7,4,"['frpm.enrollment (k-12)', 'frpm.county name']","['frpm.cdscode', 'frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT MAX(T1.`Percent (%) Eligible Free (K-12)`) AS highest_eligible_free_rate FROM frpm AS T1 INNER JOIN public_schooldistrict AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Alameda',SQL Execution Failed: (sqlite3.OperationalError) no such table: public_schooldistrict,0.0,2.0,3.0
1,california_schools,moderate,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,FAIL,,,92,0,0,0.75,0.4286,0.5455,7,4,['frpm.educational option type'],"['frpm.percent (%) eligible free (ages 5-17)', 'frpm.cdscode', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.percent (%) eligible free (k-12)']",SELECT `Percent (%) Eligible Free (Ages 5-17)` FROM frpm ORDER BY `Percent (%) Eligible Free (Ages 5-17)` ASC LIMIT 3,,0.0,2.0,2.0
2,california_schools,simple,Please list the zip code of all the charter schools in Fresno County Office of Education.,FAIL,,,92,0,0,0.7143,0.625,0.6667,8,7,"['frpm.district name', 'schools.cdscode']","['frpm.school code', 'schools.charternum', 'frpm.charter school number']",SELECT DISTINCT T1.Zip FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CharterNum = T2.`Charter School Number` WHERE T2.`Charter School (Y/N)` = 1,,0.0,2.0,2.0
3,california_schools,simple,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,FAIL,,,92,0,0,0.5,0.4286,0.4615,7,6,"['schools.mailstreet', 'schools', 'schools.cdscode']","['frpm.free meal count (k-12)', 'frpm.enrollment (k-12)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT `Unabbreviated mailing street address` FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: Unabbreviated mailing street address,0.0,1.0,1.0
4,california_schools,moderate,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,FAIL,,,92,0,0,0.625,0.625,0.625,8,8,"['frpm.charter funding type', 'schools.opendate', 'frpm.charter school (y/n)']","['schools.charter', 'frpm.school name', 'frpm.charter school number']",SELECT DISTINCT T1.`Phone` FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter` = 1 AND T2.`Open Date` > '2000-01-01',SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.Open Date,0.0,2.0,2.0
5,california_schools,simple,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,FAIL,,,92,0,0,0.4286,0.375,0.4,8,7,"['schools.school', 'satscores.cds', 'satscores', 'satscores.avgscrmath']","['schools.gsoffered', 'frpm.cdscode', 'schools.soc', 'frpm', 'schools.ncesschool']",SELECT COUNT(*) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.Math_avg > 400,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.Math_avg,0.0,1.0,2.0
6,california_schools,simple,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",FAIL,,,92,0,0,0.2857,0.25,0.2667,8,7,"['schools.school', 'satscores.cds', 'satscores.numtsttakr', 'satscores', 'schools.cdscode']","['frpm.school type', 'schools.gsoffered', 'frpm.cdscode', 'schools.gsserved', 'frpm', 'frpm.school name']",SELECT DISTINCT T1.`School Name` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.GSoffered WHERE T2.Magnet = 1 AND T1.`SAT Test Takers` > 500,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.SAT Test Takers,0.0,2.0,3.0
7,california_schools,simple,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,FAIL,,,92,0,0,0.6667,0.4444,0.5333,9,6,"['satscores.cds', 'schools.cdscode']","['frpm.cdscode', 'frpm', 'frpm.charter school number', 'schools.ncesschool', 'frpm.school name']",SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.NCESSchool = T2.CDSCode WHERE T2.NumGE1500 > 0 ORDER BY T2.NumGE1500 DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.CDSCode,0.0,2.0,2.0
8,california_schools,simple,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,FAIL,,,92,0,0,0.5,0.1429,0.2222,7,2,['satscores'],"['frpm.cdscode', 'frpm.frpm count (k-12)', 'frpm.enrollment (k-12)', 'frpm.free meal count (k-12)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT `SAT Test Takers` FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: SAT Test Takers,0.0,0.0,1.0
9,california_schools,simple,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",SUCCESS,,,92,0,0,0.8571,0.6667,0.75,9,7,['frpm.school code'],"['schools', 'schools.soc', 'schools.cdscode']",SELECT COUNT(DISTINCT T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds INNER JOIN frpm AS T3 ON T1.CDSCode = T3.CDSCode WHERE T2.AvgScrMath > 560 AND T3.`Charter Funding Type` = 'Directly funded',,0.0,3.0,4.0
